,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
239,-0.0008271764343655297,0.025278271403369874,-0.01601033657233076,0.024129907725681993,146,1,5.0,719.0,1.0,3.1,3.5833333333333335,0.467707173346743,0.242535625036333
240,-0.0242602230535693,0.01961188625199998,-0.0009770656343902242,-0.023792508675394827,146,2,6.0,1006.0,0.0,3.0,3.5833333333333335,-0.0800640769025435,0.547722557505166
241,-0.10960329306496776,-0.10020078676331232,-0.06063781239286992,-0.08388658821264373,147,1,7.0,230.0,0.0,4.2,4.333333333333333,-0.583333333333333,1.0
242,0.007391890415693202,-0.04969014285888991,-0.044458017030358066,0.004281121274706106,148,1,8.0,641.0,1.0,3.6,3.6666666666666665,0.166666666666667,0.87831006565368
243,0.08188401669767416,-0.028175716562057626,-0.05974813964942241,0.02547638289204452,148,2,10.0,289.0,0.0,3.8,4.0,-0.408248290463863,0.866025403784439
248,0.013348680722514345,-0.007571895590125289,0.012670066971517357,0.0010888073452368233,150,1,4.0,528.0,1.0,2.6,4.0,0.30012252399939,0.522232967867094
249,0.22762969066154778,0.31553215543149005,0.2680443319790944,-0.003400450701890858,150,2,5.0,180.0,0.0,2.4,3.8333333333333335,0.166666666666667,0.930857404257136
250,0.05082701969088764,0.024966782857069603,0.06152247990816251,-0.018737341612834454,150,3,3.0,179.0,0.0,2.5,4.166666666666667,0.327326835353989,0.790569415042095
253,0.010417783611061446,-0.03356529141873432,-0.024777903774282302,-0.02365788704699698,152,1,8.0,409.0,0.0,3.3,4.166666666666667,-0.25,0.943275552432877
258,0.011624932968127938,-0.03084638076227486,-0.04269564486561501,0.03907450885085477,153,3,2.0,236.0,0.0,4.2,4.25,-0.612372435695795,0.968329663731489
260,0.045827313553477834,0.024782023599328008,0.03093514017723194,0.015554062990837444,156,2,2.0,921.0,1.0,3.1,3.6666666666666665,0.0,0.94299033358289
261,0.002801414413714949,0.0055470467271223145,0.06624143138892638,-0.008852728153302873,156,3,6.0,745.0,0.0,3.4,4.333333333333333,-0.612372435695795,0.863636363636364
262,-0.02359046226750942,0.01495793839802423,0.026635272502048776,0.04621962613233498,158,1,7.0,787.0,0.0,4.4,4.25,-0.666666666666667,0.968329663731489
